TIME,01/11/18,02/11/18,03/11/18,04/11/18,05/11/18,06/11/18,07/11/18,08/11/18,09/11/18,10/11/18,11/11/18,12/11/18,13/11/18,14/11/18,15/11/18,16/11/18,17/11/18,18/11/18,19/11/18,20/11/18,21/11/18,22/11/18,23/11/18,24/11/18,25/11/18,26/11/18,27/11/18,28/11/18,29/11/18,30/11/18,,Modal Day,,,Minutes,Hours
0:00,sleep,sleep,sleep,sleep,projects,soc rel,relaxing,sleep,relaxing,soc rec,soc rec,sleep,sleep,projects,sleep,soc rel,sleep,tv,qt,sleep,relaxing,sleep,sleep,soc rel,video games,sleep,sleep,sleep,sleep,sleep,,sleep,,Sleep,14020,233.67
0:20,sleep,sleep,sleep,sleep,projects,soc rel,sleep,sleep,sleep,soc rec,soc rec,sleep,sleep,relaxing,sleep,sleep,sleep,qt,qt,sleep,sleep,sleep,sleep,relaxing,relaxing,sleep,sleep,sleep,sleep,sleep,,sleep,,PhD Work,5480,91.33
0:40,sleep,sleep,sleep,sleep,relaxing,soc rel,sleep,sleep,sleep,soc rec,soc rec,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,PhD Admin,1700,28.33
1:00,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,sleep,travel,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Life Admin,660,11.00
1:20,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,sleep,soc rel,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Outreach,780,13.00
1:40,sleep,sleep,sleep,sleep,sleep,soc rel,sleep,sleep,sleep,soc rel,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rec,2300,38.33
2:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,soc rel,soc rec,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Soc Rel,1880,31.33
2:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,life admin,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Family Time,520,8.67
2:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Projects,720,12.00
3:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Reading,200,3.33
3:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,TV,880,14.67
3:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Relaxing,1320,22.00
4:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,120,2.00
4:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,500,8.33
4:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,460,7.67
5:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,2780,46.33
5:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,1640,27.33
5:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,3380,#REF!
6:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,360,56.33
6:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,20,6.00
6:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,D&D,1120,0.33
7:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Video Games,740,18.67
7:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,outreach,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,housework,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Shopping,220,12.33
7:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,housework,outreach,soc rel,sleep,sleep,sleep,hygiene,sleep,sleep,family time,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,food,hygiene,sleep,hygiene,sleep,,sleep,,Misc Recreation,1400,3.67
8:00,sleep,sleep,sleep,qt,sleep,hygiene,life admin,hygiene,outreach,travel,sleep,food,food,food,hygiene,hygiene,food,qt,qt,travel,sleep,food,sleep,sleep,sleep,relaxing,food,hygiene,food,hygiene,,sleep,,,,
8:20,qt,qt,sleep,qt,sleep,food,hygiene,food,outreach,travel,sleep,relaxing,hygiene,relaxing,food,food,life admin,qt,hygiene,travel,food,relaxing,hygiene,sleep,sleep,travel,relaxing,food,food,food,,food,,,,
8:40,qt,qt,qt,food,food,relaxing,food,travel,outreach,travel,soc rel,travel,relaxing,life admin,food,food,life admin,qt,food,travel,relaxing,travel,food,sleep,sleep,phd work,travel,food,projects,qt,,food,,,,
9:00,hygiene,qt,qt,life admin,relaxing,travel,travel,phd work,outreach,travel,food,phd work,travel,projects,relaxing,life admin,travel,qt,phd work,misc recreation,travel,phd work,relaxing,sleep,sleep,phd work,phd work,travel,travel,travel,,travel,,,,
9:20,food,qt,food,travel,travel,phd work,travel,phd work,outreach,travel,soc rel,phd work,phd work,travel,travel,life admin,golf,tv,phd work,misc recreation,phd work,phd work,travel,sleep,housework,phd work,phd work,phd work,phd work,phd work,,phd work,,,,
